gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
AMAC1,0.003062705099778275,0.11481667067245963,0.9087431489235229,0.9228973037811307,False,0.9240657872550112,False
OR51B4,0.0061781596452328,0.11463914799101996,0.9088836232678331,0.922992831329592,False,0.9241730800547779,False
IKZF5,0.007275232815963761,0.11400558253954503,0.9093849893469266,0.9234548245068591,False,0.9246354581666838,False
ARF4,-0.008735432372505514,-0.11350142658018346,0.9097839744916957,0.9238128108611873,False,0.9249936963216594,False
GNAT3,0.009994789356984474,0.11331958387661357,0.9099278890519042,0.9239117701202503,False,0.9251281562207178,False
DOCK9,0.013016097560967665,0.11311618882125041,0.9100888641828173,0.9240280411499305,False,0.9252562341053554,False
PRSS37,0.009673237250554356,0.11301261677255955,0.9101708367534346,0.924052686067633,False,0.9253277102479889,False
COX8C,-0.013378869179600905,-0.11296810303473402,0.9102060676511723,0.924052686067633,False,0.9253516651156137,False
PIKFYVE,-0.009012394678489244,-0.11289737569029172,0.910262045969007,0.9240623434500073,False,0.9253967117505625,False
EXOC1,-0.007038048780486861,-0.11205264671182412,0.9109306552835722,0.9246938870718391,False,0.9259696047811783,False
NRF1,0.004603702882487681,0.11173547646029054,0.9111817143890348,0.9248650113149617,False,0.926176154613684,False
FLJ37307,0.019203991130820164,0.11172217369256389,0.9111922445162189,0.9248650113149617,False,0.926176154613684,False
NFATC2IP,0.007523680709530467,0.11165227262956347,0.911247576650236,0.9248739694214171,False,0.9262205252194294,False
LOC90834,-0.020432239467850444,-0.11077932144783577,0.9119386220039094,0.9255066387040821,False,0.926851649143872,False
PARP9,0.015411662971175133,0.11074726322416972,0.9119640012090909,0.9255066387040821,False,0.9268655647501024,False
ARRB2,0.011688935698447978,0.1103906926562045,0.9122462898826545,0.9257404078561341,False,0.9271049398697222,False
CCDC12,0.006966629711747885,0.1103387030973805,0.9122874497493094,0.9257404078561341,False,0.9271348888294748,False
IFT172,-0.008852350332595904,-0.10924907743965152,0.9131501553035127,0.9265685564835429,False,0.9278689480074543,False
SLC22A16,-0.016772727272727717,-0.1091496243821308,0.9132289019179604,0.9265938260823567,False,0.9279370742975633,False
MICALL2,-0.012326895787138525,-0.10909993664137836,0.9132682448353334,0.9265938260823567,False,0.9279532715143215,False
FAM100B,0.008445365853660292,0.10856248362676396,0.9136938156079664,0.9269331830268096,False,0.9283164811708858,False
LRRC37A2,-0.015702439024389392,-0.10855979902888072,0.9136959414127092,0.9269331830268096,False,0.9283164811708858,False
SPATC1,-0.018127405764967852,-0.10782723760301267,0.9142760450407349,0.9274608343807643,False,0.9288582671557468,False
COMMD3,0.008937960088683639,0.10778520596776843,0.9143093306197457,0.9274608343807643,False,0.9288791212604297,False
GPRC5A,0.019739334811527343,0.10630289695432715,0.9154832934071507,0.9286043178612672,False,0.9298822570362298,False
CCNT1,-0.01456529933481665,-0.10580945438465499,0.9158741327216545,0.9289533777444556,False,0.9302315858268199,False
LIN7A,-0.036369401330377915,-0.10569399143271677,0.915965590023448,0.9289987601385308,False,0.9303125619705116,False
LOC100128640,0.015181374722840424,0.10498956823851022,0.9165235824198259,0.9295172871427956,False,0.9308196882952371,False
FUT5,-0.020007738359201666,-0.10468468810372823,0.9167650990007234,0.9297148150855373,False,0.9310411255398189,False
OSGEP,0.008119379157427886,0.10445404442626008,0.916947812920347,0.9298117850745021,False,0.9312039744326646,False
SYCP3,0.00746272727272726,0.10444594684905069,0.9169542278313036,0.9298117850745021,False,0.9312039744326646,False
LDB1,0.00871390243902681,0.10396092343513041,0.9173384739410685,0.930153991294857,False,0.9315757098988692,False
OVCH1,0.008499290465631942,0.10362102379073354,0.9176077614684711,0.9303796039728504,False,0.9317775860520837,False
POF1B,-0.014389955654099396,-0.10350094137088675,0.9177028997680073,0.9304286295022361,False,0.9318264674810127,False
LENEP,0.006888070953436853,0.10161156022942869,0.9191999650207867,0.9318989449616836,False,0.933191244012142,False
CECR6,0.01798855875831462,0.10066634276715451,0.9199490240438682,0.9326108090513539,False,0.9338680192874597,False
NCRNA00235,0.011805720620842397,0.1004808923909775,0.9200959968419787,0.9327122585990636,False,0.9339813495495204,False
H3F3B,0.005562217294903249,0.10014122030303715,0.9203652002984238,0.9329375981617185,False,0.9342306993032652,False
HIST1H3G,-0.019792771618626137,-0.09994322454724885,0.920522123957353,0.9330491069898,False,0.9343541087714569,False
PLBD1,-0.016883458980037958,-0.09942971350426483,0.9209291271902282,0.93341407433016,False,0.9347122154540098,False
C7orf57,-0.013154323725055539,-0.09889412939868451,0.9213536475751859,0.9337967581962962,False,0.9350904115397246,False
SLC9A11,0.0076014190687360705,0.09850087323933263,0.9216653688831136,0.9340650864280936,False,0.9353588986077632,False
C13orf1,-0.009027117516630767,-0.09832769846174601,0.9218026427283212,0.9341566019128682,False,0.9354503279579098,False
NUDT2,0.011643192904653432,0.09811653324642097,0.9219700343817301,0.9342786279617563,False,0.9355842815944815,False
CRYAA,0.006490776053215103,0.09769603616552452,0.9223033747735526,0.9345687972139836,False,0.9358506939075927,False
TMEM8C,0.0024693126385809325,0.09723464688315184,0.9226691474728743,0.9348892524430595,False,0.9361739261922828,False
OR6S1,0.0037351662971175092,0.09717851939602822,0.9227136444386973,0.9348892524430595,False,0.9362070963596479,False
CREB3L4,0.012739600886918723,0.09704024302414062,0.9228232687563813,0.9349526896814997,False,0.9362943656903658,False
