gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant_per_contrast,FDR_pooled,significant_pooled
PLIN3,-0.685606233062332,-6.777662609934767,1.4531167604796705e-09,5.58586013969963e-09,False,5.499306684470522e-09,False
LOC100216001,-1.9624758807588054,-6.776230220605235,1.4625288175069273e-09,5.6209448998707085e-09,True,5.533078205494197e-09,True
HMGXB3,0.49198878048780337,6.774503604824943,1.473954561681953e-09,5.663753693758401e-09,False,5.575240511286159e-09,False
YY2,1.149061300813007,6.774130709332837,1.4764337630984705e-09,5.6721749090788695e-09,True,5.584351750310541e-09,True
PPY,-1.774867533875339,-6.773601783452187,1.479957426746932e-09,5.684604685518017e-09,True,5.597145489567394e-09,True
PRPF6,0.6209993495934949,6.772809376474916,1.4852519870563702e-09,5.703830415725729e-09,False,5.615830246091274e-09,False
ATP6V0A1,-0.5934597831978277,-6.772340776618078,1.4883918226700248e-09,5.7147754562018865e-09,False,5.626629092621968e-09,False
NCCRP1,-1.8498035772357722,-6.771314872938171,1.495288841488966e-09,5.740139372038624e-09,True,5.651624548920072e-09,True
ZNF256,-1.7534250948509493,-6.770174582478113,1.5029920502253042e-09,5.76858762756773e-09,True,5.679115759056009e-09,True
PLCL1,-1.3494947967479662,-6.768855276185317,1.5119536947684814e-09,5.8018538355389086e-09,True,5.710528923651934e-09,True
CD22,-2.8256157723577253,-6.767504636538477,1.5211830473056538e-09,5.83613418149173e-09,True,5.743746149765632e-09,True
ARF6,-0.45576525745257435,-6.76734215218233,1.5222971114359534e-09,5.8392723278578095e-09,False,5.747679019487567e-09,False
ELMO1,-1.3139720325203257,-6.765587124086132,1.5343820229449073e-09,5.884483370764989e-09,True,5.79248021838544e-09,True
ZNF670,0.6960911653116542,6.764802758688827,1.5398137710081461e-09,5.904166355100261e-09,False,5.810772843018321e-09,False
C3orf23,0.4405225474254717,6.764517590760945,1.5417932862891165e-09,5.910607232819085e-09,False,5.817689240894138e-09,False
SOX18,-1.3279894850948493,-6.764305140286168,1.5432696672215232e-09,5.915117169603195e-09,True,5.822706013099371e-09,True
SNX6,-0.5290821138211399,-6.7641414075643995,1.5444084502578665e-09,5.918331643817552e-09,False,5.826725391971924e-09,False
CELF3,-2.1200555555555565,-6.7611791854685475,1.565155551876108e-09,5.996671358654915e-09,True,5.900788965342661e-09,True
ANKRD36B,1.1105872086720865,6.761000176348222,1.566418128182462e-09,6.0003429463399674e-09,True,5.9049875570367435e-09,True
LOC145837,-2.1674998915989154,-6.760093716194127,1.5728270343483198e-09,6.023722881598148e-09,True,5.928583826795911e-09,True
RASSF5,-1.2029852574525703,-6.7594892950314795,1.5771148840372938e-09,6.0389719443136764e-09,True,5.943898810174582e-09,True
TAGLN,-2.494796693766938,-6.75917005931226,1.5793842616818374e-09,6.046487602478322e-09,True,5.951886023969608e-09,True
AP2M1,-0.32697978319782806,-6.759014373262847,1.5804921740226492e-09,6.04955467230719e-09,False,5.955778159595732e-09,False
LRFN4,0.8960020596205993,6.758748109468226,1.5823887791062416e-09,6.0556387975887996e-09,False,5.962641819739683e-09,False
MRPS26,0.6575684010840153,6.758556143971301,1.5837575545390061e-09,6.059701004173302e-09,False,5.967232473639365e-09,False
AHSA1,0.42502048780487733,6.757728531272388,1.5896721472473537e-09,6.081151259693078e-09,False,5.987810390676553e-09,False
ACYP1,0.7911435230352293,6.757599733443949,1.5905945767449487e-09,6.083499816410083e-09,False,5.991000347384536e-09,False
LGALS9,-1.026275501355018,-6.7565605519685965,1.598056463885935e-09,6.110853881681333e-09,True,6.0179623824497934e-09,True
C8orf59,0.8063727371273703,6.756218777197788,1.6005181666887872e-09,6.1190806993220016e-09,False,6.025801969762989e-09,False
VPS72,0.3730790243902433,6.755839493389804,1.6032544363870266e-09,6.128007033777938e-09,False,6.035817223984655e-09,False
FANCE,0.5760872086720878,6.755809023432029,1.6034744571143083e-09,6.128007033777938e-09,False,6.0363589835276325e-09,False
PINX1,0.7936429810298069,6.755648375244316,1.604634977684486e-09,6.1312539740240385e-09,False,6.040441081800469e-09,False
PRIC285,0.9661697560975586,6.754485902953922,1.6130575090114353e-09,6.162242169257169e-09,False,6.069265677973282e-09,False
KCNH8,2.006912953929539,6.753469546366864,1.6204572741891274e-09,6.189311920784348e-09,True,6.0959510304205e-09,True
DENND5B,-1.3388450406504049,-6.753375831402243,1.62114127458755e-09,6.1903970446134e-09,True,6.0982348752438605e-09,True
GPBAR1,-1.434111219512194,-6.753344611249954,1.6213692056505178e-09,6.1903970446134e-09,True,6.098802992216889e-09,True
C13orf36,-1.318789105691057,-6.751874028185739,1.6321416538278749e-09,6.230320056811013e-09,True,6.137577017173208e-09,True
IFFO2,0.9277806504065023,6.751751103582428,1.6330453185196105e-09,6.2325631277737024e-09,False,6.140684018012289e-09,False
FAM120B,-0.3888091598915988,-6.750844145664558,1.6397280505185137e-09,6.256857034873276e-09,False,6.163767043575874e-09,False
FLRT2,-1.9169124661246624,-6.750384961028257,1.6431217861980423e-09,6.268593852548925e-09,True,6.175645977850689e-09,True
CCDC57,0.7925577235772368,6.749788639192224,1.6475394669638129e-09,6.284231777277832e-09,False,6.191076094015269e-09,False
MOBKL2C,-0.44009485094850476,-6.747777984888218,1.6625217733883144e-09,6.3401526534940166e-09,False,6.245008844106995e-09,False
TRAPPC10,-0.6067998373983805,-6.747249838351536,1.6664795792371904e-09,6.354017266542419e-09,False,6.258097194423058e-09,False
POLR3C,0.4223577235772389,6.747030045926953,1.668129402492425e-09,6.3590782557801315e-09,False,6.263996123645024e-09,False
PCDH20,-3.0447994579945803,-6.7462886845904135,1.6737062160820637e-09,6.3791044803127745e-09,True,6.284044965447021e-09,True
NDUFA6,-0.612778373983744,-6.746037854409257,1.6755972406939692e-09,6.3850777944898685e-09,False,6.290847113383256e-09,False
LIX1L,-1.045912845528453,-6.744633548391058,1.6862235755290443e-09,6.424329387448369e-09,True,6.328944788383518e-09,True
KLK15,-2.3055632520325173,-6.741643588738511,1.7090715066879038e-09,6.509844387821322e-09,True,6.411059399573224e-09,True
MCC,-1.2418035772357694,-6.741610076594445,1.7093293225222517e-09,6.509844387821322e-09,True,6.411723233057641e-09,True
C2orf49,0.5544504607046097,6.741288875716569,1.7118023432111274e-09,6.518003901935399e-09,False,6.4200885800905765e-09,False
PHYHIP,-1.599883143631438,-6.740049457005682,1.7213782818080008e-09,6.553200717616559e-09,True,6.455087160038854e-09,True
SF3A2,0.48064715447154605,6.738604056657345,1.732612744506777e-09,6.594696645758278e-09,False,6.4950659933994535e-09,False
CD320,0.6832311653116534,6.737769159644582,1.7391351117358883e-09,6.6182447710211735e-09,False,6.517975940505808e-09,False
DDX52,0.41197967479674347,6.736820549362249,1.7465753639201452e-09,6.645276128980371e-09,False,6.544932791207447e-09,False
IGFL4,1.5545273712737127,6.7355745359326065,1.7563961960968398e-09,6.681352813856033e-09,True,6.5795580507918656e-09,True
GPNMB,-1.9065901897018964,-6.735433438333595,1.7575117434599238e-09,6.684306958732824e-09,True,6.583425974368041e-09,True
EPT1,0.5743659078590788,6.734431736488151,1.765451623571456e-09,6.713209798848653e-09,False,6.611294118888925e-09,False
CYTL1,-1.840542330623307,-6.733471928832977,1.7730927816358323e-09,6.740965809496552e-09,True,6.639281833648805e-09,True
