gene,log2FC,moderated_t,p_value,FDR_per_contrast,significant
SLC25A34,-4.5045193757462005,-24.999439829785636,7.653594440041671e-78,5.480520304386982e-75,True
LOC92659,2.8874512877366585,24.95335299262963,1.1375399723239445e-77,7.864716015550031e-75,True
SGCG,-3.1863541872761383,-24.8870385011032,2.0127009329346937e-77,1.3439185301432492e-74,True
ELANE,-2.910332628347263,-24.883336285517547,2.0778790241616323e-77,1.3439185301432492e-74,True
PCSK2,-5.488314574449941,-24.712355334701837,9.068674198349574e-77,5.682091177403405e-74,True
CLDN1,4.759634700665192,24.69224609267604,1.0786867206260962e-76,6.5538390147131e-74,True
FOXQ1,5.86171881289442,24.577359102767762,2.9090298744371397e-76,1.715472028896019e-73,True
LRP8,3.411497381886403,24.49329110925749,6.017381838198744e-76,3.447100167310995e-73,True
GRIK1,-2.5716378048780477,-24.437001260691115,9.793682844307386e-76,5.454537250787864e-73,True
CMTM5,-3.3814230086986177,-24.409005759077065,1.2479796397503223e-75,6.762700480268639e-73,True
CHAT,-2.422158024901927,-24.331487751136454,2.4426225189816666e-75,1.288804776462695e-72,True
