"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","significant"
6.54769921239838,10.0012513677812,41.2614447834905,5.9049821351535e-132,8.36742427437897e-128,290.519774246446,"CDH3",TRUE
-9.48044214092142,1.97704772036474,-41.2131607448476,8.15141186008668e-132,8.36742427437897e-128,290.20092490403,"OTOP2",TRUE
-2.75664263211382,0.429668389057751,-37.1053461369757,1.74355552439805e-119,1.19317316386306e-115,262.092496895358,"DHRS7C",TRUE
-2.76068089430894,0.422752887537994,-36.5380242887516,1.02638165136069e-117,5.26790382560875e-114,258.053414392148,"AADACL2",TRUE
-4.66208363821138,0.761293313069909,-35.9698958490621,6.31662621119754e-116,2.59360672231771e-112,253.969249883726,"OTOP3",TRUE
6.70984605352304,8.63510121580547,35.0045542464074,7.57716832918489e-113,2.59265442996943e-109,246.938412841992,"KRT80",TRUE
5.47453055555556,10.331194224924,32.6301969667398,4.61919233569205e-105,1.35474312359654e-101,229.14927467033,"ETV4",TRUE
5.56402505928184,6.4131188449848,31.9560612971001,8.52182000377153e-103,2.18691205846787e-99,223.968421604051,"ESM1",TRUE
-5.0720847899729,1.21381823708207,-30.0970533466929,2.03031016882338e-96,4.63136308510489e-93,209.381520516387,"DAO",TRUE
-2.0398245850271,11.1848589665653,-29.7166101225828,4.32329336036013e-95,8.87572126881934e-92,206.342114599395,"UGP2",TRUE
-6.95723180894309,4.32063981762918,-29.5370830374644,1.8421706469918e-94,3.43816030752196e-91,204.901481539438,"BEST4",TRUE
-4.56700425982385,1.15926291793313,-29.1603696442004,3.90796923479099e-93,6.68588403252159e-90,201.86526872742,"LGI1",TRUE
-4.70984381775068,1.46851671732523,-29.1243961421748,5.23642630911693e-93,8.26952554816697e-90,201.574395684748,"FAM135B",TRUE
-5.47089972052846,1.52680364741641,-28.8554039897257,4.69368749213423e-92,6.88295744382255e-89,199.394233324739,"VSTM2A",TRUE
2.4587078844851,9.58533282674772,27.8950884690327,1.2691007943188e-88,1.73697595382433e-85,191.537216343736,"MTHFD1L",TRUE
-4.34324267445799,1.08380273556231,-27.8560223263278,1.75447725564382e-88,2.25121362864798e-85,191.215169037313,"SLC17A8",TRUE
-3.28784065887534,0.8635,-27.4388928050794,5.63587476694237e-87,6.80614758619569e-84,187.764829240693,"FAM180B",TRUE
