"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
5.57123333333333,8.54361011235955,33.2129432994882,1.3248938525638e-51,2.72000707931348e-47,106.954435273243,"ETV4"
-9.37238866869919,5.22126516853933,-31.4467142620802,1.12759328356196e-49,1.15747450557635e-45,102.620545761908,"OTOP2"
6.73234258130081,6.39236292134831,30.6031565172428,1.01454834394086e-48,6.9428925003686e-45,100.472726772173,"KRT80"
-4.65829242886179,3.07908202247191,-30.3107989148724,2.19814759680266e-48,1.12819925405896e-44,99.7160594701914,"FAM135B"
6.63002733739838,7.84527191011236,29.8021257648791,8.56486838741315e-48,3.51673495987184e-44,98.3840794540677,"CDH3"
-4.69891016260163,2.62288314606742,-29.4874472409533,2.00578619380304e-47,6.86313175979608e-44,97.550085035019,"LGI1"
5.3434649898374,4.42435168539326,26.9307080003987,2.68887763831578e-44,7.88609398780327e-41,90.4753600837309,"ESM1"
-9.01624237804879,5.43621235955056,-26.1582876948119,2.63418599773673e-43,6.75997981669189e-40,88.227321836087,"PYY"
-4.10642708333333,2.54809775280899,-25.762691310666,8.6507486896453e-43,1.97333189553798e-39,87.0549227385413,"LHFPL4"
-5.71744212398374,3.42066741573034,-25.7028923496058,1.03668097281003e-42,2.128306037179e-39,86.8764359744161,"PCSK2"
5.47803628048781,8.80009775280899,25.3524207704997,3.01365624965379e-42,5.62457843685384e-39,85.8235917958304,"KIAA1199"
-5.38555076219512,3.41135280898876,-25.1633087100643,5.38518304147394e-42,9.213150653455e-39,85.2506399153391,"VSTM2A"
-4.25502881097561,3.04855056179775,-24.8917017133433,1.24683065992699e-41,1.96903334217701e-38,84.4217383336068,"ADH1A"
-7.00538597560976,6.63267528089888,-24.7644945804344,1.85184527611221e-41,2.71559882275598e-38,84.0310615495012,"BEST4"
-8.01911331300813,6.6729191011236,-24.4914043839477,4.35183563652495e-41,5.95621237452381e-38,83.1869936313161,"CA7"
-4.66590203252032,3.53854382022472,-24.2528092881804,9.23439697715204e-41,1.18488856213082e-37,82.4435020038378,"GLP2R"
-4.15615970528455,2.79357078651685,-24.053829550137,1.73670476275697e-40,2.09732639878827e-37,81.8191015822551,"RXRG"
-3.65088694105691,2.42362134831461,-23.7940345855365,3.98491386346381e-40,4.545015645384e-37,80.9978376774533,"MUSK"
3.02907276422764,7.53840112359551,23.6263596745951,6.83523931319871e-40,7.38565595262997e-37,80.4641264292376,"JUB"
-4.40577784552846,8.09526966292135,-23.0836697839354,3.99572295262283e-39,4.10160961086734e-36,78.7167810665018,"CLEC3B"
