"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
7.0783736710444,6.21214375,31.8148339129517,7.45121054216935e-47,1.52973352430737e-42,96.048600228559,"KRT80"
-9.38207504690431,5.702275,-30.7048168024922,1.00588945365779e-45,1.03254552417972e-41,93.5261312621995,"OTOP2"
5.91324271419637,4.42518875,29.2980961346922,3.06030887933861e-44,2.09427137642739e-40,90.2062488835153,"ESM1"
5.86295897435897,8.3970925,28.7977222750387,1.06593023776339e-43,5.47088694532059e-40,88.9905359872255,"ETV4"
6.35658874296435,6.8535175,27.3998899329903,3.83711362552452e-42,1.57551885464037e-38,85.492242327227,"FOXQ1"
6.60506804252658,7.4894975,27.139441074456,7.60516644462615e-42,2.23551693571218e-38,84.8232173593743,"CDH3"
-4.79015797373359,3.2562175,-27.1385867681231,7.62231785191685e-42,2.23551693571218e-38,84.8210137323301,"FAM135B"
-4.59752126328956,3.81369375,-26.6215821523928,3.01131671940448e-41,7.72779153117175e-38,83.4763349361093,"GLP2R"
-7.4526674796748,7.36465875,-25.6694498781291,4.00209511892304e-40,9.12922364349888e-37,80.9405270093224,"CA7"
5.07223458411507,8.52103875,25.4753680267472,6.84455744177624e-40,1.40518764279666e-36,80.4139227118245,"CLDN1"
5.66971288305191,8.60963625,24.6672488767261,6.62143812270173e-39,1.23580113326424e-35,78.1847575419042,"KIAA1199"
-6.70261225766104,7.1433375,-24.5300560024677,9.78945069114788e-39,1.67481185574388e-35,77.800364019232,"BEST4"
5.11512338961851,6.93637875,24.4962629679622,1.07819408564078e-38,1.70271727524655e-35,77.7054116412603,"GRIN2D"
-4.19891438399,8.42444875,-23.8050199545251,7.95155364171123e-38,1.16603854474522e-34,75.7394414696701,"CLEC3B"
2.948797123202,7.3422825,22.8338832086296,1.42024950295609e-36,1.9438481530459e-33,72.8989492054081,"JUB"
3.8488875547217,8.77084,22.8020817651326,1.56324468189243e-36,2.00583833245322e-33,72.8043397308223,"TRIB3"
3.0250368355222,5.31377375,22.6658612762818,2.3603341413904e-36,2.85045058369088e-33,72.3979190579403,"LOC92659"
-8.56194409005629,6.6914425,-22.120186538006,1.25261300094946e-35,1.42867471719402e-32,70.7507344621123,"GUCA2B"
-5.28534515322076,3.73931375,-21.7405028671282,4.07256820287521e-35,4.4005171160541e-32,69.5862420630825,"VSTM2A"
2.69010994371482,8.0973725,21.4042630856591,1.17142647269576e-34,1.2024692742222e-31,68.5421578052839,"KIAA1549"
-6.28982895559725,5.22389375,-21.0100864691781,4.10373877488365e-34,3.84424108027172e-31,67.3025578908591,"SCGN"
3.41492051282051,8.56697375,21.0088892112853,4.11949847861558e-34,3.84424108027172e-31,67.2987668248256,"SLCO4A1"
2.81114277673546,5.80726625,20.7072725439743,1.08725464754634e-33,9.70492952788099e-31,66.3386517690174,"PVT1"
2.3353124452783,9.4235575,20.6202326492761,1.44130313624257e-33,1.23291472446083e-30,66.0596994175142,"GTF2IRD1"
-4.40761657285804,3.00841375,-20.5591269297667,1.75758246273765e-33,1.44332671840016e-30,65.86335540059,"LGI1"
4.71410262664165,4.65177625,20.5105799778125,2.05822978691464e-33,1.62520990482144e-30,65.7070657168778,"EPHX4"
-4.4524277673546,6.269,-20.4983010200275,2.14218510393621e-33,1.62885408088187e-30,65.6674933716014,"SLC25A34"
-4.6253602876798,5.04906125,-20.0738678796858,8.61892783503955e-33,6.29439130226529e-30,64.2891272141607,"GFRA2"
1.67078042526579,8.89257375,20.0644529275821,8.89124928230362e-33,6.29439130226529e-30,64.2583185960946,"C20orf20"
2.88221738586617,5.36822,19.9861675885313,1.15202218911633e-32,7.88367184751942e-30,64.0017502433,"PRR7"
-3.70721594746717,3.82457125,-19.9659648378813,1.23180215737605e-32,8.15770912610656e-30,63.9354242405148,"ENPP6"
-4.45903771106942,2.97613375,-19.8387390995251,1.87986938729476e-32,1.2060537037863e-29,63.5166566648464,"CMA1"
2.7201272670419,10.12559375,19.7647625857144,2.40568618310121e-32,1.49662840421418e-29,63.2722985024841,"NFE2L3"
-1.60812326454034,10.38148625,-19.654001001123,3.48428172838033e-32,2.10389129069553e-29,62.9052422432534,"GLTP"
1.91286541588493,10.1688975,19.6392058617815,3.66140643985132e-32,2.14767640600422e-29,62.8561038314221,"TOMM34"
-4.05617204502814,3.05771125,-19.508756614432,5.67528047700545e-32,3.23648633869227e-29,62.4217399953236,"RXRG"
-4.29460200125078,6.6504425,-19.478479776768,6.28470375825029e-32,3.48716130153726e-29,62.3206401527369,"SULT1A2"
