pathway,n_platforms,platforms,robust_ge2
regulation of leukocyte cell-cell adhesion,1,ClueGO,False
regulation of leukocyte chemotaxis,1,ClueGO,False
regulation of leukocyte differentiation,1,ClueGO,False
regulation of leukocyte mediated cytotoxicity,1,ClueGO,False
regulation of leukocyte mediated immunity,1,ClueGO,False
regulation of leukocyte migration,1,ClueGO,False
regulation of leukocyte proliferation,1,ClueGO,False
regulation of lymphocyte proliferation,1,ClueGO,False
regulation of membrane potential,1,DAVID,False
regulation of metal ion transport,1,ClueGO,False
regulation of mononuclear cell migration,1,ClueGO,False
regulation of mononuclear cell proliferation,1,ClueGO,False
regulation of morphogenesis of a branching structure,1,ClueGO,False
regulation of morphogenesis of an epithelium,1,ClueGO,False
regulation of multicellular organismal development,1,ClueGO,False
regulation of muscle system process,1,ClueGO,False
regulation of neuron differentiation,1,ClueGO,False
regulation of neuron projection development,1,ClueGO,False
regulation of neurotransmitter secretion,1,ClueGO,False
regulation of neurotransmitter transport,1,ClueGO,False
regulation of ossification,1,ClueGO,False
regulation of peptide hormone secretion,1,ClueGO,False
regulation of peptide transport,1,ClueGO,False
regulation of peptidyl-tyrosine phosphorylation,1,ClueGO,False
regulation of phosphate metabolic process,1,ClueGO,False
regulation of phosphatidylinositol 3-kinase signaling,1,ClueGO,False
regulation of phospholipase activity,1,ClueGO,False
regulation of phosphorylation,1,ClueGO,False
regulation of plasma membrane bounded cell projection organization,1,ClueGO,False
regulation of presynaptic cytosolic calcium ion concentration,1,DAVID,False
regulation of prostatic bud formation,1,ClueGO,False
regulation of protein kinase B signaling,1,ClueGO,False
regulation of protein kinase activity,1,ClueGO,False
regulation of protein phosphorylation,1,ClueGO,False
regulation of regulated secretory pathway,1,ClueGO,False
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1,DAVID,False
regulation of response to external stimulus,1,ClueGO,False
regulation of secretion,1,ClueGO,False
regulation of secretion by cell,1,ClueGO,False
regulation of sequestering of calcium ion,1,ClueGO,False
regulation of signal transduction,1,ClueGO,False
regulation of smooth muscle cell proliferation,1,ClueGO,False
regulation of synapse assembly,1,ClueGO,False
regulation of synapse organization,1,ClueGO,False
regulation of system process,1,ClueGO,False
regulation of systemic arterial blood pressure,1,ClueGO,False
regulation of systemic arterial blood pressure by hormone,1,ClueGO,False
regulation of systemic arterial blood pressure by norepinephrine-epinephrine,1,ClueGO,False
regulation of systemic arterial blood pressure mediated by a chemical signal,1,ClueGO,False
regulation of transferase activity,1,ClueGO,False
regulation of transmembrane transport,1,ClueGO,False
regulation of transmembrane transporter activity,1,ClueGO,False
regulation of transport,1,ClueGO,False
regulation of vascular permeability,1,ClueGO,False
regulation of vasculature development,1,ClueGO,False
regulation of vasoconstriction,1,DAVID,False
regulation of vesicle-mediated transport,1,ClueGO,False
renal system development,1,ClueGO,False
renal tubule development,1,ClueGO,False
renal tubule morphogenesis,1,ClueGO,False
reproductive structure development,1,ClueGO,False
response to alcohol,1,ClueGO,False
response to calcium ion,1,ClueGO,False
response to corticosteroid,1,ClueGO,False
response to cytokine,1,ClueGO,False
response to decreased oxygen levels,1,ClueGO,False
response to ethanol,1,DAVID,False
response to growth factor,1,ClueGO,False
response to hormone,1,ClueGO,False
response to ketone,1,ClueGO,False
response to lipid,1,ClueGO,False
response to lipopolysaccharide,1,ClueGO,False
response to metal ion,1,ClueGO,False
response to molecule of bacterial origin,1,ClueGO,False
response to organic cyclic compound,1,ClueGO,False
response to organonitrogen compound,1,ClueGO,False
response to organophosphorus,1,ClueGO,False
response to purine-containing compound,1,ClueGO,False
response to xenobiotic stimulus,1,DAVID,False
retinoid metabolic process,1,ClueGO,False
retinol metabolic process,1,DAVID,False
second-messenger-mediated signaling,1,ClueGO,False
secondary active transmembrane transporter activity,1,ClueGO,False
secretion,1,ClueGO,False
secretion by cell,1,ClueGO,False
sensory organ development,1,ClueGO,False
sensory organ morphogenesis,1,ClueGO,False
sensory system development,1,ClueGO,False
sequestering of calcium ion,1,ClueGO,False
sex differentiation,1,ClueGO,False
signal release,1,ClueGO,False
signaling,1,DAVID,False
smooth muscle cell proliferation,1,ClueGO,False
sodium channel activity,1,ClueGO,False
sodium ion import across plasma membrane,1,DAVID,False
sodium ion transmembrane transporter activity,1,ClueGO,False
solute:sodium symporter activity,1,ClueGO,False
specification of animal organ identity,1,ClueGO,False
stem cell development,1,ClueGO,False
striated muscle cell differentiation,1,ClueGO,False
striated muscle contraction,1,ClueGO,False
striated muscle tissue development,1,ClueGO,False
supramolecular fiber organization,1,ClueGO,False
symporter activity,1,ClueGO,False
synaptic signaling,1,ClueGO,False
"synaptic transmission, cholinergic",1,ClueGO,False
synaptic vesicle cycle,1,ClueGO,False
synaptic vesicle exocytosis,1,ClueGO,False
telencephalon development,1,ClueGO,False
tissue morphogenesis,1,ClueGO,False
trans-synaptic signaling,1,ClueGO,False
transmembrane receptor protein tyrosine kinase signaling pathway,1,ClueGO,False
transmembrane transporter activity,1,ClueGO,False
tube development,1,ClueGO,False
tube morphogenesis,1,ClueGO,False
ureteric bud development,1,ClueGO,False
urogenital system development,1,ClueGO,False
vascular process in circulatory system,1,ClueGO,False
vasculature development,1,ClueGO,False
vasoconstriction,1,ClueGO,False
vasodilation,1,ClueGO,False
very long-chain fatty acid metabolic process,1,DAVID,False
vesicle-mediated transport in synapse,1,ClueGO,False
visual system development,1,ClueGO,False
voltage-gated cation channel activity,1,ClueGO,False
voltage-gated ion channel activity,1,ClueGO,False
voltage-gated potassium channel activity,1,ClueGO,False
wound healing,1,ClueGO,False
xenobiotic catabolic process,1,DAVID,False
xenobiotic transport,1,ClueGO,False
zymogen activation,1,DAVID,False
